AGN, Health Care, Feature Numbers: 0.30171186 0.017698992 0.29973087 0.5858968 -0.29226142 0.30097115 0.5686728 0.74482566 0.11739574 -0.5260133 0.22564152 -1.0336844 -0.30629742 1.195288 -0.018493276 
JBHT, Industrials, Feature Numbers: 0.32056183 -0.3949705 0.20866454 0.38248688 0.024635268 -0.5397489 0.123346336 -0.09506954 0.21883923 -0.05216217 -0.5653542 -0.23412003 -0.7416516 0.24310587 0.054363146 
CPB, Consumer Staples, Feature Numbers: 0.780666 -0.023512887 0.21800889 -0.8365645 -0.17112836 -0.7882497 -0.27716193 -1.5249795 -0.9102583 -0.68965054 -0.12258153 0.1451254 -0.15619221 -0.59075165 0.6410163 
EVHC, Health Care, Feature Numbers: 0.5026721 0.34598437 0.6583639 0.36798075 -0.46046397 0.39024034 0.42237157 0.73563105 -0.08619172 -0.25131568 0.05172628 -1.06794 -0.07994642 1.4816811 -0.18890691 
IDXX, Health Care, Feature Numbers: 0.3537283 -0.30260122 0.014920987 0.053600896 -0.23571663 -0.111775085 0.10429404 0.15396456 -0.21752746 -0.9033235 0.43755692 -0.6043001 -0.7895895 0.36094695 0.2999661 
SIG, Consumer Discretionary, Feature Numbers: 0.6463821 0.15970469 0.9003032 0.4588207 -0.23260446 0.30894667 0.46426404 0.7551535 -0.26606423 0.03606038 -0.2557684 -0.8378901 -0.24571589 1.4402359 -0.23253734 
JWN, Consumer Discretionary, Feature Numbers: 0.60901237 -0.037158486 0.57820064 0.48996574 -0.43298912 0.223775 0.3045997 0.12576401 -0.3836685 -0.031608388 -0.48899546 -0.49233517 -0.12234689 1.1333407 -0.049474254 
SBAC, Real Estate, Feature Numbers: 0.6923278 -0.037377756 0.29589674 -0.19522987 -0.10866454 -0.43783823 0.17105873 -0.12643945 0.0043393266 -0.2961612 -0.04416909 -0.298531 -0.14400698 0.3247461 0.023669466 
EOG, Energy, Feature Numbers: 0.81748194 1.1459658 1.6480961 0.54896826 -0.02568864 -0.23991294 0.52813715 0.10455112 0.03587737 1.3334554 -1.197935 -0.3607871 1.4182069 2.2914693 -0.12824781 
TAP, Consumer Staples, Feature Numbers: 0.47022077 -0.25737795 -0.0030166258 -0.21295881 -0.1133317 -0.48923233 -0.18116103 -0.6966806 -0.15781173 -0.63821876 -0.14388923 -0.03362368 -0.17606954 0.13793778 0.20786263 
VRTX, Health Care, Feature Numbers: 0.37617955 0.62388647 0.8001377 1.0907826 -0.3205444 1.1119182 0.9960295 1.9085821 0.115012005 -0.42593458 0.6823759 -2.073699 -0.013445131 2.558372 -0.5906675 
BWA, Consumer Discretionary, Feature Numbers: 0.291696 0.1668737 0.1483119 0.61678755 0.058150314 -0.11417608 0.2577243 0.417397 0.6868616 -0.06951068 -0.6244201 -0.4284084 0.18605988 1.2781206 -0.37219182 
UAL, Industrials, Feature Numbers: 0.22744872 0.4383212 0.3972208 0.93176687 -0.80419195 1.0690737 0.5753769 1.7338954 0.3848162 -0.21136343 0.120236844 -1.8265551 -0.43425086 2.3293104 -0.47388038 
UAA, Consumer Discretionary, Feature Numbers: 0.1790557 0.104288556 0.49622908 0.9317522 -0.46608663 0.73557353 0.49662486 0.9729867 -0.08131637 -0.42262265 -0.104443386 -1.2090572 -0.20014577 1.9165493 -0.44738477 
